0,never sad entire life
0,sad bad like even cry
0,bad
0,still smile happy worried jin
0,sister bf broke now bad blood sad now
0,bad happened get call sister saying
0,glad sad bc bad luck
0,fucking sad get treated fucking bad
0,sad friend bad past hours
0,going bad old ways sad hungry
0,feel bad just want see harry stop crying sad
0,feel bad sad countries even get one fucking date
0,sad bad math
0,bad day today noone cared sad
0,must sad days ago sad abt bad comments
0,got sad bc someone trouble felt bad
0,crying feel bad everything
0,ethan dm worry sad
0,sad great fighter though
0,yes bad makes sad
1,thanks good time
1,great talent
1,good crowds
1,great genes good skincare
1,ribbon looks great
1,hope good crowds
1,great cover
1,good morning folks
1,means good luck gonna great day
1,feel good
1,think good
1,great
1,times beach yesterday great friends
1,great sunday
1,birthday baby hope great time
1,wish nothing great things
1,day may great lord bless
1,great day
1,birthday bro wish best
1,birthday man great
